,,Wavelength (µm),"Reflectance, S-Pol. (%)","Reflectance, P-Pol. (%)","Reflectance, Unpol. (%)"
,,0.639,95.933243,92.575068,94.2541555
,,0.640,95.944283,92.647815,94.296049
,,0.641,95.964203,92.712053,94.338128
,,0.642,96.049553,92.785142,94.4173475
,,0.643,96.040092,92.847743,94.4439175
,,0.644,96.09005,92.918085,94.5040675
,,0.645,96.151733,92.993092,94.5724125
,,0.646,96.182808,93.058745,94.6207765
,,0.647,96.18663,93.11665,94.65164
,,0.648,96.237015,93.184663,94.710839
,,0.649,96.283607,93.246556,94.7650815
,,0.650,96.27684,93.302391,94.7896155
,,0.651,96.293938,93.374544,94.834241
,,0.652,96.372673,93.427723,94.900198
,,0.653,96.392693,93.489997,94.941345
,,0.654,96.417412,93.544857,94.9811345
,,0.655,96.437927,93.593515,95.015721
,,0.656,96.4673,93.658658,95.062979
,,0.657,96.527557,93.708678,95.1181175
,,0.658,96.526169,93.7535,95.1398345
,,0.659,96.570847,93.813118,95.1919825
,,0.660,96.58696,93.863853,95.2254065
,,0.661,96.62265,93.919787,95.2712185
,,0.662,96.677971,93.971025,95.324498
,,0.663,96.691994,94.009392,95.350693
,,0.664,96.687614,94.055835,95.3717245
,,0.665,96.763184,94.10772,95.435452
,,0.666,96.761971,94.159019,95.460495
,,0.667,96.781334,94.2119,95.496617
,,0.668,96.828323,94.243806,95.5360645
,,0.669,96.823257,94.281283,95.55227
,,0.670,96.848022,94.329423,95.5887225
,,0.671,96.88649,94.366109,95.6262995
,,0.672,96.879745,94.415786,95.6477655
,,0.673,96.918282,94.452015,95.6851485
,,0.674,96.925934,94.499036,95.712485
,,0.675,96.984215,94.539687,95.761951
,,0.676,96.996155,94.578724,95.7874395
,,0.677,96.98465,94.623515,95.8040825
,,0.678,97.003845,94.660931,95.832388
,,0.679,97.028336,94.679837,95.8540865
,,0.680,97.01783,94.726394,95.872112
,,0.681,97.06057,94.755103,95.9078365
,,0.682,97.066032,94.781856,95.923944
,,0.683,97.094498,94.819858,95.957178
,,0.684,97.104408,94.848628,95.976518
,,0.685,97.132561,94.871043,96.001802
,,0.686,97.1633,94.913498,96.038399
,,0.687,97.16272,94.938972,96.050846
,,0.688,97.184334,94.972232,96.078283
,,0.689,97.18457,94.990567,96.0875685
,,0.690,97.179535,95.017556,96.0985455
,,0.691,97.22953,95.043373,96.1364515
,,0.692,97.262924,95.058885,96.1609045
